tconst,original_title,start_year,runtime_minutes,genres,budget,ww_gross,mpaa_rating,month
tt0485985,Red Tails,2012,125.0,"['Action', 'Adventure', 'Drama']",58000000.0,50365498.0,PG-13,1.0
tt0490075,Aftermath,2013,84.0,"['Crime', 'Thriller']",,3451.0,R,3.0
tt0490215,Silence,2016,161.0,"['Adventure', 'Drama', 'History']",46000000.0,23834809.0,R,1.0
tt0491152,Something Borrowed,2011,112.0,"['Comedy', 'Drama', 'Romance']",35000000.0,65100369.0,PG-13,5.0
tt0493405,CHIPS,2017,100.0,"['Action', 'Comedy', 'Crime']",25000000.0,26800152.0,R,3.0
tt0493949,Ramona and Beezus,2010,103.0,"['Adventure', 'Comedy', 'Family']",15000000.0,27293743.0,G,7.0
tt0495024,Bad Blood,2012,107.0,"['Horror', 'Mystery', 'Romance']",900000.0,3731.0,R,10.0
tt0498351,The Hero of Color City,2014,77.0,"['Animation', 'Family']",,115335.0,G,7.0
tt0498381,Rings,2017,102.0,"['Drama', 'Horror', 'Mystery']",25000000.0,83080890.0,PG-13,2.0
tt0756727,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,116.0,"['Biography', 'Documentary', 'Music']",,30975.0,Unrated,2.0
tt0758752,Love & Other Drugs,2010,112.0,"['Comedy', 'Drama', 'Romance']",30000000.0,102820008.0,R,11.0
tt0762138,Syrup,2013,90.0,"['Comedy', 'Drama', 'Romance']",2500000.0,663.0,R,5.0
tt0763831,A Thousand Words,2012,91.0,"['Comedy', 'Drama']",40000000.0,22044277.0,PG-13,3.0
tt0765446,Escape from Planet Earth,2013,89.0,"['Adventure', 'Animation', 'Comedy']",40000000.0,74939189.0,PG,2.0
tt0770703,What's Your Number?,2011,106.0,"['Comedy', 'Romance']",20000000.0,30426096.0,R,9.0
tt0770802,Samsara,2011,102.0,"['Documentary', 'Music']",4000000.0,4426444.0,PG-13,2.0
tt0770828,Man of Steel,2013,143.0,"['Action', 'Adventure', 'Sci-Fi']",225000000.0,668045518.0,PG-13,6.0
tt0775440,Cell,2016,98.0,"['Action', 'Drama', 'Horror']",,1323012.0,R,6.0
tt0775543,Night Catches Us,2010,90.0,"['Drama', 'Romance']",,76185.0,R,12.0
tt0780504,Drive,2011,100.0,"['Crime', 'Drama']",15000000.0,77187281.0,R,9.0
tt0780548,Kid Cannabis,2014,110.0,"['Biography', 'Comedy', 'Crime']",5000000.0,5565.0,Unrated,4.0
tt0780645,War of the Dead,2011,86.0,"['Action', 'Adventure', 'Horror']",1000000.0,58285.0,Unrated,1.0
tt0780653,The Wolfman,2010,103.0,"['Drama', 'Fantasy', 'Horror']",150000000.0,139789765.0,R,2.0
tt0787474,The Boxtrolls,2014,96.0,"['Adventure', 'Animation', 'Comedy']",60000000.0,108255770.0,PG,9.0
tt0790628,The Incredible Burt Wonderstone,2013,100.0,"['Adventure', 'Comedy', 'Fantasy']",30000000.0,27437881.0,PG-13,3.0
tt0790636,Dallas Buyers Club,2013,117.0,"['Biography', 'Drama']",5000000.0,55736588.0,R,11.0
tt0790724,Jack Reacher,2012,130.0,"['Action', 'Crime', 'Thriller']",60000000.0,218340595.0,PG-13,12.0
tt0790736,R.I.P.D.,2013,96.0,"['Action', 'Adventure', 'Comedy']",130000000.0,78324220.0,PG-13,7.0
tt0790770,Miles Ahead,2015,100.0,"['Biography', 'Drama', 'Music']",,3473958.0,R,4.0
tt0795461,Scary Movie 5,2013,86.0,['Comedy'],20000000.0,78378744.0,PG-13,4.0
tt0798817,13,2010,91.0,"['Drama', 'Thriller']",20000000.0,3701600.0,R,3.0
tt0800320,Clash of the Titans,2010,106.0,"['Action', 'Adventure', 'Fantasy']",125000000.0,493214993.0,PG-13,4.0
tt0800369,Thor,2011,115.0,"['Action', 'Adventure', 'Fantasy']",150000000.0,449326618.0,PG-13,5.0
tt0804463,Devil's Knot,2013,114.0,"['Biography', 'Crime', 'Drama']",15000000.0,2033154.0,Unrated,5.0
tt0804497,It's Kind of a Funny Story,2010,101.0,"['Comedy', 'Drama', 'Romance']",8000000.0,6491240.0,PG-13,10.0
tt0808510,Tooth Fairy,2010,101.0,"['Comedy', 'Family', 'Fantasy']",48000000.0,112462508.0,PG,1.0
tt0810913,Jack and Jill,2011,91.0,['Comedy'],79000000.0,149673788.0,PG,11.0
tt0810922,Take Me Home Tonight,2011,97.0,"['Comedy', 'Drama', 'Romance']",23000000.0,7550073.0,R,3.0
tt0811137,The Do-Deca-Pentathlon,2012,76.0,['Comedy'],,10000.0,R,3.0
tt0815236,She's Out of My League,2010,104.0,"['Comedy', 'Romance']",20000000.0,49779728.0,R,3.0
tt0816442,The Book Thief,2013,131.0,"['Drama', 'War']",19000000.0,76586316.0,PG-13,11.0
tt0816462,Conan the Barbarian,2011,113.0,"['Action', 'Adventure', 'Fantasy']",90000000.0,63523283.0,R,8.0
tt0816711,World War Z,2013,116.0,"['Action', 'Adventure', 'Horror']",190000000.0,540455876.0,PG-13,6.0
tt0817177,Flipped,2010,90.0,"['Comedy', 'Drama', 'Romance']",14000000.0,4324817.0,PG,9.0
tt0817230,Valentine's Day,2010,125.0,"['Comedy', 'Romance']",52000000.0,216485654.0,PG-13,2.0
tt0817545,The Power of Few,2013,96.0,"['Action', 'Crime', 'Drama']",4000000.0,45659.0,R,2.0
tt0818098,Dreamkiller,2010,110.0,['Thriller'],2500000.0,15514.0,R,2.0
tt0822847,Priest,2011,87.0,"['Action', 'Adventure', 'Fantasy']",60000000.0,78309505.0,PG-13,5.0
tt0825283,Maximum Ride,2016,88.0,"['Action', 'Adventure', 'Comedy']",,4218.0,PG-13,8.0
tt0829150,Dracula Untold,2014,92.0,"['Action', 'Drama', 'Fantasy']",70000000.0,217124280.0,PG-13,10.0
tt0829176,Gallowwalkers,2012,90.0,"['Action', 'Horror', 'Thriller']",17000000.0,141696.0,R,8.0
tt0831387,Godzilla,2014,123.0,"['Action', 'Adventure', 'Sci-Fi']",160000000.0,524976069.0,PG-13,5.0
tt0835418,The Babymakers,2012,95.0,['Comedy'],,475511.0,R,3.0
tt0835802,Krystal,2017,90.0,"['Comedy', 'Drama']",,37516.0,R,4.0
tt0837559,Approaching Midnight,2013,86.0,"['Crime', 'Drama', 'Romance']",100000.0,2795.0,PG,8.0
tt0837562,Hotel Transylvania,2012,91.0,"['Animation', 'Comedy', 'Family']",85000000.0,358375603.0,PG,9.0
tt0837563,Pet Sematary,2019,101.0,"['Horror', 'Mystery', 'Thriller']",21000000.0,113118226.0,R,4.0
tt0840361,The Town,2010,125.0,"['Crime', 'Drama', 'Thriller']",37000000.0,154026136.0,R,9.0
tt0842926,The Kids Are All Right,2010,106.0,"['Comedy', 'Drama', 'Romance']",4000000.0,34758951.0,R,7.0
tt0844993,Hoodwinked Too! Hood vs. Evil,2011,86.0,"['Animation', 'Comedy', 'Crime']",30000000.0,29985033.0,PG,4.0
tt0848228,The Avengers,2012,143.0,"['Action', 'Adventure', 'Sci-Fi']",220000000.0,1518815515.0,PG-13,5.0
tt0848537,Epic,2013,102.0,"['Adventure', 'Animation', 'Family']",100000000.0,268426634.0,PG,5.0
tt0850677,Jack & Diane,2012,110.0,"['Drama', 'Horror', 'Romance']",,1142.0,R,4.0
tt0859635,Super Troopers 2,2018,99.0,"['Comedy', 'Crime', 'Mystery']",13500000.0,31626386.0,R,4.0
tt0864835,Mr. Peabody & Sherman,2014,92.0,"['Adventure', 'Animation', 'Comedy']",145000000.0,275698039.0,PG,3.0
tt0865561,6 Month Rule,2011,100.0,['Comedy'],,14057.0,R,8.0
tt0872230,My Soul to Take,2010,107.0,"['Horror', 'Mystery', 'Thriller']",25000000.0,21500813.0,R,10.0
tt0873886,Red State,2011,88.0,"['Action', 'Crime', 'Horror']",4000000.0,1874460.0,R,1.0
tt0878814,Jewtopia,2012,90.0,"['Comedy', 'Romance']",,88327.0,Unrated,4.0
tt0878835,Please Give,2010,87.0,"['Comedy', 'Drama']",3000000.0,4313829.0,R,6.0
tt0879870,Eat Pray Love,2010,133.0,"['Drama', 'Romance']",60000000.0,204594016.0,PG-13,8.0
tt0881320,Sanctum,2011,108.0,"['Adventure', 'Drama', 'Thriller']",30000000.0,108609310.0,R,2.0
tt0882977,Snitch,2013,112.0,"['Action', 'Drama', 'Thriller']",15000000.0,57824674.0,PG-13,2.0
tt0884726,Legends of Oz: Dorothy's Return,2013,88.0,"['Adventure', 'Animation', 'Family']",70000000.0,21755418.0,PG,5.0
tt0884732,The Wedding Ringer,2015,101.0,['Comedy'],23000000.0,79799880.0,R,1.0
tt0889573,The Switch,2010,101.0,"['Comedy', 'Drama', 'Romance']",19000000.0,49843011.0,PG-13,8.0
tt0892318,Letters to Juliet,2010,105.0,"['Adventure', 'Comedy', 'Drama']",30000000.0,79628830.0,PG,5.0
tt0892769,How to Train Your Dragon,2010,98.0,"['Action', 'Adventure', 'Animation']",165000000.0,494879471.0,PG,3.0
tt0892791,Shrek Forever After,2010,93.0,"['Adventure', 'Animation', 'Comedy']",165000000.0,752600867.0,PG,5.0
tt0914863,Unthinkable,2010,97.0,"['Crime', 'Drama', 'Thriller']",15000000.0,1669947.0,R,6.0
tt0935075,Rabbit Hole,2010,91.0,['Drama'],5000000.0,5144717.0,PG-13,1.0
tt0938283,The Last Airbender,2010,103.0,"['Action', 'Adventure', 'Family']",150000000.0,319713881.0,PG,7.0
tt0944835,Salt,2010,100.0,"['Action', 'Mystery', 'Thriller']",110000000.0,293503354.0,PG-13,7.0
tt0945513,Source Code,2011,93.0,"['Action', 'Drama', 'Sci-Fi']",32000000.0,147332697.0,PG-13,4.0
tt0947798,Black Swan,2010,108.0,"['Drama', 'Thriller']",13000000.0,329398046.0,R,12.0
tt0948470,The Amazing Spider-Man,2012,136.0,"['Action', 'Adventure', 'Sci-Fi']",230000000.0,757930663.0,PG-13,7.0
tt0955308,Robin Hood,2010,140.0,"['Action', 'Adventure', 'Drama']",200000000.0,321669741.0,PG-13,5.0
tt0959306,Reach Me,2014,95.0,"['Comedy', 'Crime', 'Drama']",5000000.0,26013.0,PG-13,11.0
tt0960730,Beautiful Darling,2010,85.0,['Documentary'],,34096.0,Unrated,4.0
tt0963966,The Sorcerer's Apprentice,2010,109.0,"['Action', 'Adventure', 'Family']",150000000.0,215283742.0,PG,7.0
tt0964517,The Fighter,2010,116.0,"['Biography', 'Drama', 'Sport']",25000000.0,129190869.0,R,12.0
tt0968264,The Conspirator,2010,122.0,"['Crime', 'Drama', 'History']",25000000.0,15625544.0,PG-13,4.0
tt0970866,Little Fockers,2010,98.0,"['Comedy', 'Romance']",100000000.0,310650585.0,PG-13,12.0
tt0974015,Justice League,2017,120.0,"['Action', 'Adventure', 'Fantasy']",300000000.0,657926987.0,PG-13,11.0
tt0975645,Hitchcock,2012,98.0,"['Biography', 'Comedy', 'Drama']",15700000.0,27039669.0,PG-13,12.0
tt0977855,Fair Game,2010,108.0,"['Biography', 'Drama', 'Thriller']",22000000.0,25806953.0,PG-13,12.0
tt0978764,Sucker Punch,2011,110.0,"['Action', 'Adventure', 'Fantasy']",82000000.0,89792502.0,PG-13,3.0
tt0979434,Lottery Ticket,2010,99.0,['Comedy'],17000000.0,24719879.0,PG-13,8.0
tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,113.0,"['Adventure', 'Family', 'Fantasy']",155000000.0,415686217.0,PG,12.0
tt0983193,The Adventures of Tintin,2011,107.0,"['Action', 'Adventure', 'Animation']",135000000.0,373993951.0,PG,12.0
tt0984210,Multiple Sarcasms,2010,97.0,['Drama'],2500000.0,29731.0,R,4.0
tt0985694,Machete,2010,105.0,"['Action', 'Crime', 'Thriller']",10500000.0,45491656.0,R,9.0
tt0989757,Dear John,2010,108.0,"['Drama', 'Romance', 'War']",25000000.0,114984666.0,PG-13,2.0
tt0990407,The Green Hornet,2011,119.0,"['Action', 'Comedy', 'Crime']",120000000.0,227817248.0,PG-13,1.0
tt0993842,Hanna,2011,111.0,"['Action', 'Drama', 'Thriller']",30000000.0,63782078.0,PG-13,4.0
tt0993846,The Wolf of Wall Street,2013,180.0,"['Biography', 'Crime', 'Drama']",100000000.0,392000694.0,R,12.0
tt0995845,The Courier,2012,95.0,"['Action', 'Crime', 'Drama']",15500000.0,58387.0,R,6.0
tt0995868,Pelé: Birth of a Legend,2016,107.0,"['Biography', 'Drama', 'Sport']",,7846608.0,PG,5.0
tt0997152,The Experiment,2010,96.0,"['Drama', 'Thriller']",21800000.0,716580.0,R,9.0
tt0999913,Straw Dogs,2011,110.0,"['Action', 'Drama', 'Thriller']",25000000.0,11168712.0,R,9.0
tt1001526,Megamind,2010,95.0,"['Action', 'Animation', 'Comedy']",130000000.0,321885765.0,PG,11.0
tt1002563,The Young Messiah,2016,111.0,"['Drama', 'Fantasy']",18500000.0,7330338.0,PG-13,3.0
tt1013743,Knight and Day,2010,109.0,"['Action', 'Adventure', 'Comedy']",117000000.0,261989769.0,PG-13,6.0
tt1013860,Dylan Dog: Dead of Night,2010,107.0,"['Action', 'Comedy', 'Crime']",20000000.0,5782515.0,PG-13,4.0
tt1014759,Alice in Wonderland,2010,108.0,"['Adventure', 'Family', 'Fantasy']",200000000.0,1025468216.0,PG,3.0
tt1015471,The Sisterhood of Night,2014,104.0,"['Drama', 'Mystery', 'Thriller']",1000000.0,6870.0,PG-13,10.0
tt1017451,The Runaways,2010,106.0,"['Biography', 'Drama', 'Music']",10000000.0,4681651.0,R,1.0
tt1017464,The Tortured,2010,79.0,"['Horror', 'Thriller']",8500000.0,319421.0,R,5.0
tt1018765,Our Brand Is Crisis,2015,107.0,"['Comedy', 'Drama']",28000000.0,8527658.0,R,10.0
tt1023114,The Way Back,2010,133.0,"['Adventure', 'Drama', 'History']",30000000.0,24172201.0,PG-13,1.0
tt1024648,Argo,2012,120.0,"['Biography', 'Drama', 'Thriller']",44500000.0,232325503.0,R,10.0
tt1024770,The People I've Slept With,2012,89.0,['Comedy'],3000000.0,19137.0,Unrated,7.0
tt1025102,The Pardon,2013,120.0,['Crime'],5000000.0,8845.0,PG-13,3.0
