,tconst,primary_title,original_title,start_year,runtime_minutes,genres,country,budget,ww_gross,ww_currency,domestic_gross_x,domestic_currency,int_gross,int_currency,release_date_x,mpaa_rating,tmdb_id
36,tt0479051,The Greater Meaning of Water,The Greater Meaning of Water,2010,60.0,"Drama,Sport",US,"{'amount': 24500.0, 'currency': 'USD'}",,,,,,,2010,Not Rated,125583.0
37,tt0479204,Perfect Life,Perfect Life,2010,98.0,"Horror,Thriller",US,"{'amount': 10000000.0, 'currency': 'USD'}",,,,,,,2010-04-27,R,36604.0
38,tt0480255,The Losers,The Losers,2010,97.0,"Action,Adventure,Crime",US,"{'amount': 25000000, 'currency': 'USD'}",29397654.0,USD,23591432.0,USD,5806222.0,USD,2010-04-23,PG-13,
39,tt0482461,Barry Munday,Barry Munday,2010,95.0,"Comedy,Drama,Romance",US,"$3,000,000",$0,,$0,,,,2010-03-13,R,44594.0
40,tt0483586,Chasing 3000,Chasing 3000,2010,115.0,"Family,Sport",US,"{'amount': 10000000.0, 'currency': 'USD'}",,,,,,,2010-07-16,PG,51597.0
41,tt0483839,A Woman Is a Woman,A Woman Is a Woman,2010,102.0,"Comedy,Drama",US,"{'amount': 7000000.0, 'currency': 'USD'}",,,,,,,2010,,
42,tt0490199,PrimeMates,PrimeMates,2010,82.0,"Comedy,Drama",US,,,,,,,,2010-01-14,Not Rated,
43,tt0490236,The Invited,The Invited,2010,95.0,"Horror,Thriller",US,"{'amount': 7000000.0, 'currency': 'USD'}",,,,,,,2015-03-17,Not Rated,327674.0
44,tt0493949,Ramona and Beezus,Ramona and Beezus,2010,103.0,"Adventure,Comedy,Family",US,"{'amount': 15000000, 'currency': 'USD'}",27293743.0,USD,26167002.0,USD,1126741.0,USD,2010-07-23,G,
45,tt0494229,Good Sharma,Good Sharma,2010,100.0,Drama,US,,,,,,,,2017,,313301.0
46,tt0499608,Tranced,Tranced,2010,,"Drama,Fantasy,Romance",US,"{'amount': 4000000.0, 'currency': 'USD'}",,,,,,,2010,,730376.0
47,tt0756727,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010,116.0,"Biography,Documentary,Music",US,,30975.0,USD,30975.0,USD,,,2006-02-04,Not Rated,53079.0
48,tt0758752,Love & Other Drugs,Love & Other Drugs,2010,112.0,"Comedy,Drama,Romance",US,"{'amount': 30000000, 'currency': 'USD'}",102820008.0,USD,32367005.0,USD,70453003.0,USD,2010-11-24,R,
49,tt0765485,Waste of Space,Waste of Space,2010,78.0,"Adventure,Comedy,Sci-Fi",US,,,,,,,,2010-04-17,,
50,tt0770778,King of the Avenue,King of the Avenue,2010,83.0,"Drama,Fantasy,Thriller",US,"{'amount': 2500000.0, 'currency': 'USD'}",,,,,,,2010-09-17,R,47853.0
51,tt0775543,Night Catches Us,Night Catches Us,2010,90.0,"Drama,Romance",US,,76185.0,USD,76185.0,USD,,,2010-12-03,R,48833.0
52,tt0780653,The Wolfman,The Wolfman,2010,103.0,"Drama,Fantasy,Horror",US,"{'amount': 150000000, 'currency': 'USD'}",139789765.0,USD,61979680.0,USD,77810085.0,USD,2010-02-12,R,
53,tt0798817,13,13,2010,91.0,"Drama,Thriller",US,,3701600.0,USD,,,3701600.0,USD,2010-03-13,R,44982.0
