,tconst,mpaa_rating,release_date
327,tt1229238,PG-13,2011-12-21
328,tt1229340,PG-13,2013-12-18
329,tt1230168,PG-13,2017-10-20
330,tt1230213,Not Rated,2015-01-23
331,tt1230215,R,2012-10-06
332,tt1231583,R,2010-11-05
333,tt1231586,R,2011-04-29
334,tt1231587,R,2010-03-26
335,tt1232200,R,2012-06-15
336,tt1232829,R,2012-03-16
337,tt1233334,R,2011-01-20
338,tt1234654,R,2010-03-26
339,tt1234719,PG-13,2012-11-21
340,tt1234721,PG-13,2014-02-12
341,tt1235170,R,2011-01-21
342,tt1235522,R,2013-01-18
343,tt1235790,R,2011-08-05
344,tt1236472,,2010-03-15
345,tt1240982,R,2011-04-08
346,tt1241226,R,2014-03-28
347,tt1242432,R,2010-05-01
348,tt1242599,R,2011-01-21
349,tt1243957,PG-13,2010-12-10
350,tt1243974,PG-13,2015-05-29
351,tt1244658,PG-13,2010-08-17
352,tt1244659,PG,2010-01-22
353,tt1245492,R,2013-06-12
354,tt1245526,PG-13,2010-10-15
355,tt1245534,TV-MA,2018-12-01
356,tt1247667,R,2010-01-24
357,tt1250861,G,2010-10-15
358,tt1251743,R,2011-07-15
359,tt1253863,R,2014-03-07
360,tt1253864,R,2011-11-11
361,tt1254978,TV-MA,2011-07-15
362,tt1255919,PG-13,2018-12-25
363,tt1258972,R,2012-11-02
364,tt1258998,Not Rated,2010
365,tt1259521,R,2012-04-13
366,tt1259528,R,2018-01-19
367,tt1261945,R,2010-05-27
368,tt1261954,PG-13,2011-04-19
369,tt1262416,R,2011-04-15
370,tt1262941,R,2010-04-17
371,tt1262958,Not Rated,2010-01
372,tt1262990,PG-13,2013-10-18
373,tt1264115,PG-13,2010-09-10
374,tt1265990,PG-13,2011-02-04
375,tt1266615,Not Rated,2010-06-04
376,tt1267297,PG-13,2014-07-25
377,tt1268799,R,2011-11-04
378,tt1270277,R,2010-01-23
379,tt1270296,R,2010-01
380,tt1270761,R,2011-08-26
381,tt1270798,PG-13,2011-06-03
382,tt1270835,R,2010-10-01
383,tt1272878,R,2013-08-02
384,tt1273219,R,2016-09-16
385,tt1273241,R,2010-03-13
386,tt1273678,PG,2010-01-15
387,tt1274296,Not Rated,2010-08
388,tt1274300,PG-13,2010-09-20
389,tt1276104,R,2012-09-28
390,tt1276962,Not Rated,2013-04-25
391,tt1277953,PG,2012-06-08
392,tt1278379,R,2010-01-23
393,tt1279935,PG-13,2010-04-09
394,tt1280015,PG-13,2010-01
395,tt1280725,Not Rated,2013-09-27
396,tt1282041,Not Rated,2010-04-28
397,tt1282046,R,2014-08-15
398,tt1282140,PG-13,2010-09-17
399,tt1283887,R,2010-04-23
400,tt1284575,R,2011-06-24
401,tt1285009,R,2018-03-09
402,tt1285016,PG-13,2010-10-01
403,tt1287468,PG,2010-07-30
404,tt1288558,R,2013-04-05
405,tt1289401,PG-13,2016-07-15
406,tt1289419,R,2010-10-15
407,tt1290082,PG-13,2010-03
408,tt1290138,Unrated,2016-12-09
409,tt1291150,PG-13,2014-08-08
410,tt1291549,R,2010-04
411,tt1291570,R,2016-12-16
412,tt1291580,TV-MA,2013-05-26
413,tt1291584,PG-13,2011-09-09
414,tt1292566,R,2016-02-12
415,tt1293751,TV-14,2013-11-01
416,tt1294136,R,2010-10-08
417,tt1294226,PG,2010-03-31
418,tt1294688,R,2011-04-25
419,tt1294970,R,2014-05-23
420,tt1296373,R,2011-03-13
421,tt1296898,PG-13,2011-02-04
422,tt1297921,Not Rated,2010
423,tt1298644,PG-13,2019-05-10
424,tt1298649,R,2012-07-27
425,tt1298650,PG-13,2011-05-20
426,tt1300854,PG-13,2013-05-03
427,tt1301990,R,2010-04-24
428,tt1302001,R,2011-05-06
429,tt1302011,PG,2011-05-26
430,tt1302067,PG,2010-12-17
